transaction_id,reference,date,amount
TXN3001,REF1001,2026-08-24,1079.61
TXN3003,REF1003,2026-08-03,415.39
TXN3004,REF1004,2026-08-18,5576.54
TXN3005,REF1005,2026-08-01,6770.41
TXN3006,REF1006,2026-08-25,1401.17
TXN3007,REF1007,2026-08-26,5191.11
TXN3008,REF1008,2026-08-10,807.98
TXN3009,REF1009,2026-08-23,4970.89
TXN3010,REF1010,2026-08-28,7291.9
TXN3011,REF1011,2026-08-12,1508.16
TXN3012,REF1012,2026-08-20,5561.1
TXN3013,REF1013,2026-08-13,1514.41
TXN3014,REF1014,2026-08-22,4800.53
TXN3015,REF1015,2026-08-02,2062.55
TXN3016,REF1016,2026-08-19,1911.71
TXN3017,REF1017,2026-08-21,4318.58
TXN3018,REF1018,2026-08-18,6370.66
TXN3019,REF1019,2026-08-08,3326.81
TXN3020,REF1020,2026-08-04,543.42
TXN3021,REF1021,2026-08-13,5130.02
TXN3023,REF1023,2026-08-18,1106.51
TXN3024,REF1024,2026-08-14,1081.46
TXN3025,REF1025,2026-08-17,2349.3
TXN3026,REF1026,2026-08-10,7418.83
TXN3027,REF1027,2026-08-25,1426.21
TXN3028,REF1028,2026-08-12,312.63
TXN3029,REF1029,2026-08-08,2149.43
TXN3030,REF1030,2026-08-27,6108.35
TXN3031,REF1031,2026-08-17,1528.81
TXN3032,REF1032,2026-08-28,7906.43
TXN3033,REF1033,2026-08-21,8459.5
TXN3034,REF1034,2026-08-08,1160.39
TXN3035,REF1035,2026-08-01,5063.47
TXN3036,REF1036,2026-08-03,7327.96
TXN3037,REF1037,2026-08-05,1938.88
TXN3038,REF1038,2026-08-26,4096.8
TXN3039,REF1039,2026-08-14,959.37
TXN3040,REF1040,2026-08-21,469.6
TXN3041,REF1041,2026-08-09,6834.95
TXN3042,REF1042,2026-08-09,3672.71
TXN3043,REF1043,2026-08-28,3647.54
TXN3044,REF1044,2026-08-03,7130.83
TXN3045,REF1045,2026-08-16,3543.56
TXN3046,REF1046,2026-08-13,3314.43
TXN3047,REF1047,2026-08-23,2531.83
TXN3048,REF1048,2026-08-18,5676.63
TXN3051,REF1051,2026-08-06,818.93
TXN3052,REF1052,2026-08-19,3521.53
TXN3053,REF1053,2026-08-22,834.56
TXN3054,REF1054,2026-08-23,1855.56
TXN3055,REF1055,2026-08-10,5758.61
TXN3056,REF1056,2026-08-20,227.78
TXN3057,REF1057,2026-08-17,4639.25
TXN3058,REF1058,2026-08-12,7491.91
