order_id,reference,date,amount,item_description,applied_gst_rate
ORD2001,REF1001,2026-08-24,1079.61,Printed textbook,0
ORD2002,REF1002,2026-08-24,1005.83,LED bulb 9W,12
ORD2003,REF1003,2026-08-03,415.39,Courier/freight charges,0
ORD2004,REF1004,2026-08-18,5576.54,Two-wheeler helmet,18
ORD2005,REF1005,2026-08-01,6908.74,Leather formal shoes,18
ORD2006,REF1006,2026-08-25,1448.25,Leather formal shoes,18
ORD2007,REF1007,2026-08-26,5191.11,Bluetooth earphones,28
ORD2008,REF1008,2026-08-10,807.98,Software subscription 1yr,18
ORD2009,REF1009,2026-08-23,4970.89,Bluetooth earphones,5
ORD2010,REF1010,2026-08-28,7291.9,Bottled mineral water 1L,12
ORD2011,REF1011,2026-08-12,1508.16,Bluetooth earphones,12
ORD2012,REF1012,2026-08-20,5561.1,A4 printing 100 pages,12
ORD2013,REF1013,2026-08-13,1514.41,Cotton kurta,5
ORD2014,REF1014,2026-08-22,4800.53,Two-wheeler helmet,18
ORD2015,REF1015,2026-08-02,2062.55,Fresh vegetables crate,0
ORD2016,REF1016,2026-08-19,1911.71,Bottled mineral water 1L,18
ORD2017,REF1017,2026-08-21,4318.58,Printed textbook,0
ORD2018,REF1018,2026-08-18,6370.66,Cotton kurta,5
ORD2019,REF1019,2026-08-08,3484.99,Salon haircut service,18
ORD2020,REF1020,2026-08-04,543.42,Handmade jute bag,12
ORD2021,REF1021,2026-08-13,5130.02,Courier/freight charges,18
ORD2022,REF1022,2026-08-18,2249.31,Wooden dining table,18
ORD2023,REF1023,2026-08-18,1106.51,LED bulb 9W,12
ORD2024,REF1024,2026-08-14,1081.46,Notebook pack of 5,0
ORD2025,REF1025,2026-08-17,2349.3,LED bulb 9W,12
ORD2026,REF1026,2026-08-10,7418.83,Toned milk 1L pouch,0
ORD2027,REF1027,2026-08-25,1426.21,Mobile phone 128GB,0
ORD2028,REF1028,2026-08-12,312.63,Gold chain 10g,3
ORD2029,REF1029,2026-08-08,2149.43,Restaurant dine-in bill,5
ORD2030,REF1030,2026-08-27,6261.43,Bottled mineral water 1L,5
ORD2031,REF1031,2026-08-17,1528.81,Gym membership monthly,18
ORD2032,REF1032,2026-08-25,7906.43,Mobile phone 128GB,18
ORD2033,REF1033,2026-08-21,8459.5,Software subscription 1yr,18
ORD2034,REF1034,2026-08-08,1160.39,Health insurance premium,0
ORD2035,REF1035,2026-08-01,5063.47,Cotton kurta,0
ORD2036,REF1036,2026-08-03,7327.96,Fresh vegetables crate,0
ORD2037,REF1037,2026-08-05,1938.88,Gold chain 10g,3
ORD2038,REF1038,2026-08-26,4096.8,Salon haircut service,18
ORD2039,REF1039,2026-08-14,959.37,Toned milk 1L pouch,0
ORD2040,REF1040,2026-08-21,602.33,LED bulb 9W,12
ORD2041,REF1041,2026-08-04,6834.95,Notebook pack of 5,12
ORD2042,REF1042,2026-08-09,3672.71,Paracetamol strip 10 tabs,5
ORD2043,REF1043,2026-08-28,3850.14,Bottled mineral water 1L,18
ORD2044,REF1044,2026-08-03,7130.83,Gym membership monthly,18
ORD2045,REF1045,2026-08-16,3543.56,Laptop repair service,28
ORD2046,REF1046,2026-08-13,3314.43,Laptop repair service,18
ORD2047,REF1047,2026-08-23,2531.83,Health insurance premium,18
ORD2048,REF1048,2026-08-16,5676.63,Gym membership monthly,12
ORD2049,REF1049,2026-08-02,6293.41,Salon haircut service,18
ORD2050,REF1050,2026-08-28,4131.18,Salon haircut service,18
ORD2051,REF1051,2026-08-06,818.93,Wooden dining table,0
ORD2052,REF1052,2026-08-19,3521.53,Cotton kurta,5
ORD2053,REF1053,2026-08-22,834.56,Mobile recharge 599 plan,18
ORD2054,REF1054,2026-08-23,1855.56,Leather formal shoes,18
ORD2055,REF1055,2026-08-10,5758.61,Paracetamol strip 10 tabs,5
ORD2056,REF1056,2026-08-20,227.78,Bottled mineral water 1L,18
ORD2057,REF1057,2026-08-17,4639.25,Bottled mineral water 1L,18
ORD2058,REF1058,2026-08-12,7491.91,Bottled mineral water 1L,18
